protocol;pkt_length;pkt_rate;pkt_count;ip_ttl;status
ICMP;70;500;25669;64;DDOS-Attack
UDP;74;5747;349635;64;DDOS-Attack
UDP;70;10272;614990;64;DDOS-Attack
ICMP;63;6184;372962;64;DDOS-Attack
UDP;65;1144;71663;64;DDOS-Attack
ICMP;66;1511;92318;64;DDOS-Attack
ICMP;67;500;33684;64;DDOS-Attack
UDP;92;2944;179001;64;DDOS-Attack
UDP;60;1000;55441;64;DDOS-Attack
ICMP;82;820;48447;64;DDOS-Attack
ICMP;82;3953;240194;64;DDOS-Attack
TCP;346;140;8221;64;Normal
ICMP;43;1000;61265;64;DDOS-Attack
ICMP;68;2492;144862;64;DDOS-Attack
ICMP;49;4709;279824;64;DDOS-Attack
ICMP;55;22855;1373928;64;DDOS-Attack
UDP;73;1000;59543;64;DDOS-Attack
TCP;429;1;208;128;Normal
UDP;563;24;1432;64;Normal
TCP;981;46;2816;128;Normal
TCP;296;66;4054;64;Normal
ICMP;69;500;34862;64;DDOS-Attack
TCP;53;1403;79523;64;DDOS-Attack
UDP;575;1;14;64;Normal
UDP;57;6762;403645;64;DDOS-Attack
UDP;516;80;4818;64;Normal
ICMP;64;1155;71546;64;DDOS-Attack
UDP;692;245;14893;64;Normal
UDP;67;638;39171;64;DDOS-Attack
TCP;523;61;3678;64;Normal
UDP;91;1000;64455;64;DDOS-Attack
ICMP;71;500;30825;64;DDOS-Attack
UDP;81;1310;74517;64;DDOS-Attack
UDP;59;1211;73337;64;DDOS-Attack
TCP;777;84;5147;64;Normal
UDP;40;500;25203;64;DDOS-Attack
UDP;41;5008;298057;64;DDOS-Attack
ICMP;68;2328;136213;64;DDOS-Attack
UDP;74;1000;59853;64;DDOS-Attack
ICMP;86;2207;129360;64;DDOS-Attack
ICMP;85;1000;61700;64;DDOS-Attack
UDP;76;3230;195823;64;DDOS-Attack
TCP;1053;119;7000;64;Normal
ICMP;74;500;25371;64;DDOS-Attack
TCP;451;106;6505;128;Normal
ICMP;48;500;29702;64;DDOS-Attack
ICMP;68;500;25836;64;DDOS-Attack
UDP;90;2333;135821;64;DDOS-Attack
UDP;54;1000;57358;64;DDOS-Attack
TCP;78;2973;181270;64;DDOS-Attack
ICMP;51;8154;487523;64;DDOS-Attack
UDP;285;125;7382;64;Normal
UDP;53;5653;334243;64;DDOS-Attack
UDP;388;82;5010;255;Normal
UDP;63;8882;536322;64;DDOS-Attack
UDP;403;157;9594;64;Normal
UDP;72;3303;197724;64;DDOS-Attack
ICMP;342;130;7801;255;Normal
UDP;72;1044;66794;64;DDOS-Attack
UDP;86;1717;98085;64;DDOS-Attack
ICMP;66;1074;60703;64;DDOS-Attack
TCP;336;30;1635;64;Normal
UDP;89;1000;57700;64;DDOS-Attack
UDP;77;1465;91675;64;DDOS-Attack
UDP;58;588;36743;64;DDOS-Attack
UDP;655;82;5047;64;Normal
ICMP;81;1278;74701;64;DDOS-Attack
ICMP;530;243;14394;128;Normal
TCP;40;757;40495;64;DDOS-Attack
UDP;93;7360;444573;64;DDOS-Attack
TCP;61;1473;93355;64;DDOS-Attack
TCP;80;1182;74433;64;DDOS-Attack
ICMP;100;1000;55348;64;DDOS-Attack
ICMP;67;1000;56846;64;DDOS-Attack
TCP;50;500;25005;64;DDOS-Attack
TCP;673;35;2161;64;Normal
TCP;48;591;30975;64;DDOS-Attack
ICMP;77;5244;319077;64;DDOS-Attack
TCP;784;11;477;128;Normal
TCP;63;500;29968;64;DDOS-Attack
TCP;672;122;7136;64;Normal
ICMP;77;3346;203423;64;DDOS-Attack
UDP;40;4583;270416;64;DDOS-Attack
UDP;74;2979;176228;64;DDOS-Attack
UDP;84;693;41957;64;DDOS-Attack
ICMP;49;2987;175686;64;DDOS-Attack
ICMP;90;2293;139812;64;DDOS-Attack
TCP;62;2441;144491;64;DDOS-Attack
TCP;264;94;5685;64;Normal
TCP;863;86;5298;64;Normal
TCP;646;106;6547;64;Normal
ICMP;563;1;1;64;Normal
TCP;800;15;701;32;Normal
UDP;102;1000;62235;64;DDOS-Attack
ICMP;86;5459;327696;64;DDOS-Attack
UDP;43;5846;349470;64;DDOS-Attack
TCP;383;110;6581;128;Normal
TCP;578;144;8496;128;Normal
TCP;579;34;2029;64;Normal
TCP;1217;103;6174;64;Normal
ICMP;71;500;33482;64;DDOS-Attack
UDP;51;2203;133375;64;DDOS-Attack
ICMP;70;611;32858;64;DDOS-Attack
TCP;332;39;2285;64;Normal
ICMP;72;1000;59841;64;DDOS-Attack
TCP;57;500;31659;64;DDOS-Attack
ICMP;78;11531;693644;64;DDOS-Attack
UDP;505;16;764;64;Normal
TCP;374;138;8230;64;Normal
UDP;51;5982;361531;64;DDOS-Attack
ICMP;86;500;32153;64;DDOS-Attack
UDP;80;2833;165177;64;DDOS-Attack
ICMP;63;1000;62857;64;DDOS-Attack
UDP;69;4711;280021;64;DDOS-Attack
TCP;40;1;145;64;Normal
ICMP;71;1000;60566;64;DDOS-Attack
TCP;581;63;3859;64;Normal
UDP;72;7267;434568;64;DDOS-Attack
TCP;100;1000;60100;64;DDOS-Attack
UDP;78;761;41718;64;DDOS-Attack
UDP;619;93;5746;64;Normal
